description,vendor_name,created_at,invoice_date,due_date,payment_date,amount,settled,outstanding
 - Broadband Delivery Charge,Nathaniel Herrera,29/10/2013 08:15,25/10/2013 00:00,1/11/13 0:00,21/11/2013 09:52,1501.98,1501.98,0
 Drink - Team building ,Mr. William Bartlett,3/10/13 15:07,3/10/13 0:00,2/11/13 0:00,4/11/13 12:04,23473.64,23473.64,0
 Drinks,Linda Bowen,3/10/16 12:42,3/10/16 0:00,2/11/16 0:00,15/11/2016 11:53,1009.98,1009.98,0
 Drinks,Christina Wilson,11/2/14 10:57,11/2/14 0:00,13/03/2014 00:00,23/04/2014 14:13,1134.78,1134.78,0
 Drinks,Christina Wilson,3/10/16 11:49,3/10/16 0:00,2/11/16 0:00,15/11/2016 11:48,5339.65,5339.65,0
1100W AC Config 1 POWER Supply,David Huynh,5/7/17 12:31,10/7/17 0:00,9/8/17 0:00,6/9/17 14:49,1201.98,1201.98,0
1100W AC Config 1 Power Supply,Cynthia Hunt,10/11/14 13:11,10/11/14 0:00,10/12/14 0:00,16/01/2015 12:24,2641.98,2641.98,0
2 nights accommodation and food,Amy Best,22/05/2014 14:46,22/05/2014 00:00,21/06/2014 00:00,17/07/2014 11:39,697.98,697.98,0
2 x twin rooms,Christina Wilson,20/01/2015 15:34,20/01/2015 00:00,19/02/2015 00:00,4/2/15 16:03,732.07,732.07,0
2 x twin rooms,Linda Bowen,4/7/17 8:59,4/7/17 0:00,3/8/17 0:00,1/8/17 13:15,1009.98,1009.98,0
2 x twin rooms,Marcus Barton,20/07/2015 12:03,8/7/15 0:00,7/8/15 0:00,20/07/2015 12:03,4591.98,4591.98,0
26 Steps to Management user manuals,Emily Wilson,13/01/2016 13:18,13/01/2016 00:00,12/2/16 0:00,10/2/16 13:59,3721.98,3721.98,0
2nd Instalment,Alex Grimes,14/04/2015 12:11,31/03/2015 00:00,30/04/2015 00:00,21/04/2015 12:40,2434.44,2434.44,0
30% Learner licence fee,Angel Huynh,22/06/2016 13:51,20/07/2016 00:00,19/08/2016 00:00,9/9/16 8:59,401.98,401.98,0
30% Learner licence fee,Jacob Williams,14/04/2015 12:20,14/04/2015 00:00,14/05/2015 00:00,13/05/2015 12:57,401.98,401.98,0
30% Learner licence fee,Amy Best,3/6/15 10:07,1/5/15 0:00,31/05/2015 00:00,3/6/15 10:07,506.98,506.98,0
30% Learner licence fee,Alex Grimes,15/12/2014 13:44,30/11/2014 00:00,30/12/2014 00:00,30/01/2015 13:31,692.92,692.92,0
30% Learner licence fee,Alex Grimes,7/11/14 9:28,31/10/2014 00:00,30/11/2014 00:00,30/01/2015 13:32,752.31,752.31,0
30% Learner licence fee,Alex Grimes,7/1/15 13:51,31/12/2014 00:00,30/01/2015 00:00,30/01/2015 13:33,1842.92,1842.92,0
30% Learner licence fee,Mr. Michael Watson,18/01/2017 15:55,6/10/16 0:00,5/11/16 0:00,18/01/2017 16:01,2791.98,2791.98,0
30% Learner licence fee,Alex Grimes,20/09/2017 09:56,20/09/2017 00:00,20/10/2017 00:00,4/10/17 14:30,2892.82,2892.82,0
30% Learner licence fee,Jeremy Cooper,18/01/2017 15:22,31/12/2016 00:00,30/01/2017 00:00,29/03/2017 15:24,3001.98,3001.98,0
350W AC Config 1 POWER Supply,Christopher Ross,28/06/2016 10:37,1/7/16 0:00,31/07/2016 00:00,6/7/16 14:53,1446.53,1446.53,0
3rd Instalment,Joshua Graham,7/11/14 9:34,31/10/2014 00:00,30/11/2014 00:00,22/12/2014 12:50,601.98,601.98,0
640W AC Config 2 Power Supply,Lori Aguilar,3/10/16 12:15,3/10/16 0:00,2/11/16 0:00,10/10/16 11:01,1995.94,1995.94,0
715W AC Config 1 Power Supply,Linda Bowen,23/05/2016 14:23,1/6/16 0:00,1/7/16 0:00,6/7/16 14:48,1009.98,1009.98,0
